data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;;;;;;;;;;;;;;;;;;
4 de janeiro de 2025;Muito agradável em termos gerais;Funcionários muitos atenciosos;Cortinas não permitem que fiquemos a dormir um pouco mias deixa entrar o sol.;10;;;;;;;;;;;;;;;;;;;;;;;;;
3 de abril de 2025;Muito bom;Localização ótima, todavia por ser um hotel antigo, não tinha ducha higiênica e estava entrando mau cheiro pelo ralo. Café bom;;8;;;;;;;;;;;;;;;;;;;;;;;;;
3 de abril de 2025;Bom;O espaço do quarto é ótimo e a localização é excelente;Café da manhã ruim, poucas opções e comidas frias. Achei a cama muito mole, mas há quem goste.;7;;;;;;;;;;;;;;;;;;;;;;;;;
2 de abril de 2025;Muito bom;Não gostei da academia.;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Gostei dos funcionários.""";;8;;;;;;;;;;;;;;;;;;;;;;;;;;;
2 de abril de 2025;Tendo oportunidade voltarei com certeza;Localização, atendimento das pessoas excelente e quartos amplos;;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2025;Muito bom;Localização muito boa. Perto da praia, restaurantes e bares.;;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2025;Hotel atende nos requisitos principais: Boa localização;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A decepção foi que a Recepção não tem acesso as câmaras e só recebeu a reclamação para repassar a Gerência do Hotel que chegaria somente no outro dia; pela manhã. No dia 26mar( quarta-feira) pela manhã; já fazendo o check out; a Recepção ainda não tinha resposta sobre nossa mala; nem o Gerente tinha chegado ao Hotel para verificar as câmaras; etc; etc...Enfim; até agora; ainda não recebemos do Hotel;" qualquer situação sobre a recuperação da nossa mala.""";7;;;;;;;;;;;;;;;;;;;
13 de outubro de 2023;Pós 3loy;Localização excelente.;Esteira grande quebrada ,😕;7;;;;;;;;;;;;;;;;;;;;;;;;;
12 de outubro de 2023;Merece indicação e outra estadia.;Bom café da manhã.;;;;;;;;;;;;;;;;;;;;;;;;;;;
A praia era próxima.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Feirinha próxima.""";Tudo foi bom.;8;;;;;;;;;;;;;;;;;;;;;;;;;;;
12 de outubro de 2023;Bom;Localização;Café da manhã;7;;;;;;;;;;;;;;;;;;;;;;;;;
12 de outubro de 2023;Satisfatório;Localização, cordialidade dos funcionários e limpeza.;Camas antigas e café da manhã não é sortido.;6;;;;;;;;;;;;;;;;;;;;;;;;;
11 de outubro de 2023;Legal;Conforto;Chão sujo;7;;;;;;;;;;;;;;;;;;;;;;;;;
10 de outubro de 2023;Atendeu a necessidade.;Café da manhã é o trivial. A localidade é a melhor parte, pois fica perto de tudo. Logo na frente tem um supermercado, na redondeza tem restaurantes e você consegue ir a pé. Está a 900 mt do Shopping Recife.;;7;;;;;;;;;;;;;;;;;;;;;;;;;
9 de outubro de 2023;Muito bom;Quartos grandes;;8;;;;;;;;;;;;;;;;;;;;;;;;;
9 de outubro de 2023;Bom custo benefício.;Localização, equipe de funcionários atenciosos.;Cama muito baixa e colchão sem densidade, desconfortável.;7;;;;;;;;;;;;;;;;;;;;;;;;;
9 de outubro de 2023;Excelente custo. Benefício;Instalações e localização excelentes;;;;;;;;;;;;;;;;;;;;;;;;;;;
9 de outubro de 2023;Bom;Localização;O que não gostei foi do cheiro de carpete molhado no corredor.;7;;;;;;;;;;;;;;;;;;;;;;;;;
9 de outubro de 2023;Muito bom;Ok;Ok;8;;;;;;;;;;;;;;;;;;;;;;;;;
9 de outubro de 2023;Satisfeito;Localização;O quarta poderia estar com a estética melhor;8;;;;;;;;;;;;;;;;;;;;;;;;;
9 de outubro de 2023;Bom;Preço;;7;;;;;;;;;;;;;;;;;;;;;;;;;
8 de outubro de 2023;Bom;Ótima localização, hotel com estrutura e bom café da manhã;A cama era muito ruim, o lençol não prendia no colchão, saía o tempo todo. Não dormimos bem lá;7;;;;;;;;;;;;;;;;;;;;;;;;;
8 de outubro de 2023;Muito bom;a localização do hotel é excelente! do outro lado da rua tem mercado, farmácias por perto e bem próximo à praia.;o café da manhã poderia ter uma variedade maior;8;;;;;;;;;;;;;;;;;;;;;;;;;
8 de outubro de 2023;Bom custo benefício, porém podiam melhorar o café da manhã e as roupas de cama.;Localização boa, quarto confortável e banheiro bom.;Café da manhã com poucas opções, não repõem as comidas, roupas de cama e toalhas em péssimo estado.;7;;;;;;;;;;;;;;;;;;;;;;;;;
7 de outubro de 2023;Não me hospedaria novamente;;Tão logo cheguei vi que o hotel era antigo e precisava de uma boa reforma, no entanto, minha intenção era me hospedar somente uma noite devido a uma longa conexão. Ao dormir acreditei que para passar algumas horas o hotel fosse suficiente, infelizmente, pela manhã fui surpreendida pela falta de água. Dada a baixa manutenção do hotel não sei se tal fato foi isolado ou ocorre com frequência. Como o hotel não conseguiu garantir o mínimo para uma noite de hospedagem, não recomendo-o, nem me hospedaria novamente.;6;;;;;;;;;;;;;;;;;;;;;;;;;
7 de outubro de 2023;Bom;Funcionários, localização, espaço do quarto;Espaço do quarto;8;;;;;;;;;;;;;;;;;;;;;;;;;
6 de outubro de 2023;Muito bom;Ótimo café da manhã. A localização é muito boa, perto da praia e com um supermercado em frente.;O banheiro do quarto estava com um cheiro forte que vinha do ralo;8;;;;;;;;;;;;;;;;;;;;;;;;;
6 de outubro de 2023;Bom;Localização muito perto perto da praia de Boa Viagem, fácil deslocamento ao aeroporto;Instalações um pouco antigas, à primeira vista não é agradável mas os quartos são limpos e tem bom café da manhã;7;;;;;;;;;;;;;;;;;;;;;;;;;
6 de outubro de 2023;Bom;Localização;Café da manhã, pouquíssimas opções;7;;;;;;;;;;;;;;;;;;;;;;;;;
5 de outubro de 2023;Bom;Café da manhã bom.;Atendimento na recepção não é bom.;;;;;;;;;;;;;;;;;;;;;;;;;;
Banheiro muito apertado.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fomos colocados no 12º andar; só que o elevador vai até o 11º andar;" estávamos com malas com acesso por escada.""";7;;;;;;;;;;;;;;;;;;;;;;;;;;
5 de outubro de 2023;Satisfatório;Café da manhã e localização;Conforto dos quartos: cama, travesseiro e banheiro;6;;;;;;;;;;;;;;;;;;;;;;;;;
5 de outubro de 2023;Muito bom;Ótimo atendimento! Funcionários solícitos, e prestativos. Boa localização, bem próximo do aeroporto. Estacionamento próprio, tendo que pagar uma taxa de R$ 20,00 (out. de 2023), mas localizado na rua do hotel. Quarto amplo e confortável. Café da manhã ótimo. Quarto limpo.;;8;;;;;;;;;;;;;;;;;;;;;;;;;
5 de outubro de 2023;Bom;A localização;Café da manha deixou a desejar todo dia as mesmas coisas .;7;;;;;;;;;;;;;;;;;;;;;;;;;
5 de outubro de 2023;Retornarei certamente;Perto de tudo, os funcionários sem solícitos, ambiente limpo e agradável, o café da manhã não tinha muita variedade mas que chegasse 06.30hs ou 9.30 encontrava a mesma qualidade.;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quarto limpo todos os dias e troca de toalhas tb.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Retornarei a esse hotel certamente.""";Só da tv que bem antiga, não tem como assistir nada com Internet.;8;;;;;;;;;;;;;;;;;;;;;;;;;;;
5 de outubro de 2023;Deixou a desejar;Simpatia dos colaboradores;Estacionamento pago e caríssimo.;;;;;;;;;;;;;;;;;;;;;;;;;;
Edifício antigo; necessita de reforma.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cheiro de mofo nos corredores.""";6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4 de outubro de 2023;Bom;LOCALIZAÇÃO;O hotel tem uma infraestrutura excelente, porém antiga e sem cuidados de manutenção. Precisa , urgente, de uma modernizada, repaginada e melhorada!!! Merece , aliás!;7;;;;;;;;;;;;;;;;;;;;;;;;;
4 de outubro de 2023;Fora da expectativa;A localização era boa, mas o café da manhã foi razoável, poucas variedades de frutas, queijos e presuntos de baixa qualidade. No tocante aos carboidratos estava muito bom.;A academia estava em péssimas condições, aparelhos sem manutenção e enferrujados. Os outros itens pelo custo benefício valeram a pena.;7;;;;;;;;;;;;;;;;;;;;;;;;;
4 de outubro de 2023;Muito bom;Cama boa e quarto limpo.;Infraestrutura precisa de reforma, hotel com aqueles corredores vermelhos e portas, torna o ambiente um pouco estranho.;8;;;;;;;;;;;;;;;;;;;;;;;;;
4 de outubro de 2023;Muito bom;Preço e localização;Móveis antigos e café da manhã simples;8;;;;;;;;;;;;;;;;;;;;;;;;;
3 de outubro de 2023;Ótimo custo benefício,;Localização, bom custo benefício.;Café da manhã poderia ser melhor, achamos razoável.;;;;;;;;;;;;;;;;;;;;;;;;;;
Estrutura muito antiga do prédio; e falta um pouco de conforto;" esperávamos mais.""";7;;;;;;;;;;;;;;;;;;;;;;;;;;
2 de outubro de 2023;Satisfatório;Gostei da localização.;Da higiene, do conforto e da pouca variedade do café da manhã. O ralo do box estava entupido, o piso do banheiro muito gasto. Toalhas pequenas, lenço gasto. Não tinha toalha p trocar. No café da manhã a sanduicheira estava muito suja. A colher de servir ovo estava sempre melada demais.;6;;;;;;;;;;;;;;;;;;;;;;;;;
1º de outubro de 2023;Muito bom;Ótima localização, um Carrefour na frente do hotel, 3 quadras da praia, limpeza no quarto todos os dias e Ótimo Café da manhã com muitas opções;Prédio e antigo, mas a nada que atrapalhou a estadia;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de outubro de 2023;Excelente custo benefício;Quarto espaçoso, bom café da manhã e excelente localização;O hotel é antigo e precisa se uma reforma;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de outubro de 2023;Bom;Funcionários muito simpáticos. A localização é muito boa, próxima a supermercado, farmácia e praia.;Instalação um pouco antigas. O café não é tão variado. A cama é bem mole, para quem tem problema de coluna pode ser um problema. Porém o custo benefício é muito bom.;7;;;;;;;;;;;;;;;;;;;;;;;;;
30 de setembro de 2023;excelente localização;A localização é excelente . muito perto da praia. supermercado, bares, farmácia. muito bom o preço;nada a declarar;;;;;;;;;;;;;;;;;;;;;;;;;;
"deu tudo certo na estadia. bom atendimento""";8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28 de setembro de 2023;Muito bom;Localização;;8;;;;;;;;;;;;;;;;;;;;;;;;;
27 de setembro de 2023;Bom;Localização excelente. Colaboradores atenciosos e prestativos. Cama confortável e ducha muito boa, muito mesmo.;;7;;;;;;;;;;;;;;;;;;;;;;;;;
27 de setembro de 2023;Muito bom;Um bom custo beneficio ,;Não gostei do banheiro.;8;;;;;;;;;;;;;;;;;;;;;;;;;
26 de setembro de 2023;Muito bom;A localização, no geral o hotel tem uma estrutura boa, os funcionários são bem educados e atenciosos.;O estacionamento no subsolo, cobram taxa, mas o local tinha muito lixo acumulado, mal cheiro, o que foi bem desagradável e o acesso ao hotel estava sem elevador, sendo preciso subi de escada até a recepção.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pedi uma taça de vinho a recepção; não tinha; então pedir um copo de vidro qualquer tb falaram que não tinha e me ofereceram copo descartável. ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
São coisas tão mínimas como a limpeza que independente do valor da hospedagem é o mínimo que se espera de um local com serviço de hotelaria.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No banheiro; uma grande quantidade de água se acumular no box; o escoamento é muito lento e a água fica empoçada.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No café da manhã sentir falta de diversidade de frutas;" só tinha duas opções melancia e melão.""";8;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 de setembro de 2023;Muito bom;O chuveiro que é excelente, o café da manhã é otimo, a localização é perfeita e os funcionários gentis.;A academia não funciona, os equipamentos estão todos quebrados ou descalibrados;8;;;;;;;;;;;;;;;;;;;;;;;;;
24 de setembro de 2023;Bom;;Wi-fi ruim.;;;;;;;;;;;;;;;;;;;;;;;;;;
"Não respeitam o pedido de não perturbe..""";7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22 de setembro de 2023;Foi boa;Quarto grande e próximo Carrefour .shopping,farmácia as ,lavanderia;O preço de visitante muito caro;8;;;;;;;;;;;;;;;;;;;;;;;;;
22 de setembro de 2023;Ótimo custo benefício;Limpeza e organização;Nada;8;;;;;;;;;;;;;;;;;;;;;;;;;
22 de setembro de 2023;Mais ou menos;Bem localizado. Funcionarios atenciosos;Quarto as cortinas estao velhas e passa sol logo cedo. ;;;;;;;;;;;;;;;;;;;;;;;;;;
Nao fornecem toalhas pra usar na piscina do hotel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Academia equipamentos bem sucateados""";6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21 de setembro de 2023;Muito bom;Localização;Travesseiros;8;;;;;;;;;;;;;;;;;;;;;;;;;
19 de setembro de 2023;Bom;Localização, preço.;Café da manhã fraco e repetitivo, goteiras no quarto.;7;;;;;;;;;;;;;;;;;;;;;;;;;
18 de setembro de 2023;Bom;Bem localizado;Estrutura antiga.;7;;;;;;;;;;;;;;;;;;;;;;;;;
18 de setembro de 2023;Custo-benefício interessante.;Recepção;;;;;;;;;;;;;;;;;;;;;;;;;;;
Café da Manhã;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Limpeza""";Colchão;7;;;;;;;;;;;;;;;;;;;;;;;;;;;
17 de setembro de 2023;Bom custo benefício;Quartos amplos;Falta de modernização;7;;;;;;;;;;;;;;;;;;;;;;;;;
16 de setembro de 2023;Muito bom;Atendimento, localização;Café da manhã;8;;;;;;;;;;;;;;;;;;;;;;;;;
16 de setembro de 2023;Muito bom;Bem localizado, café da manhã excelente.;Reclamei com a booking e com a gerente, não obtive retorno, o diferencial desse hotel, que me fez escolhe-lo é a academia, porém os 3 únicos aparelhos não funcionam, o cabo pra regular o peso afundou no aparelho, tive que pagar academia fora e não vão me reembolsar. O quarto reservado foi cama de casal, me acomodaram em cama de solteiro, o parcelamento seria 6 X, a atendente informou q essa informação é pela booking, que pelo hotel são 5x, melhor reservar direto com a acomodação, sai mais barato, já q a booking se isentou de qq responsabilidade.;8;;;;;;;;;;;;;;;;;;;;;;;;;
15 de setembro de 2023;Muito bom;Atendimento dos funcionários;;8;;;;;;;;;;;;;;;;;;;;;;;;;
15 de setembro de 2023;Bom lugar;A localização do hotel é muito boa. Perto de farmácia, supermercado ,restaurante e praia.;Não gostei do colchão, pois era muito mole.;8;;;;;;;;;;;;;;;;;;;;;;;;;
14 de setembro de 2023;Muito bom;A localização é excelente, o conforto, o cafe da manhã e a disponibilidade dos funcionários faz a diferença.;A academia de ginastica não funciona, os equipamentos estão velhos e quebrados.... De;8;;;;;;;;;;;;;;;;;;;;;;;;;
13 de setembro de 2023;Muito bom;Do café da manhã.;;8;;;;;;;;;;;;;;;;;;;;;;;;;
13 de setembro de 2023;Muito bom;Quarto bem amplo;Manutençao do elevador durante horário do Check out;8;;;;;;;;;;;;;;;;;;;;;;;;;
13 de setembro de 2023;Razoável;Localização;Café da manhã sem variedade e academia sem estrutura;7;;;;;;;;;;;;;;;;;;;;;;;;;
13 de setembro de 2023;Muito bom;A localização boa.;Não ter restaurante no estacionamento.;8;;;;;;;;;;;;;;;;;;;;;;;;;
11 de setembro de 2023;Razoável;Localização muito boa!;Não tem estacionamento e o café da manhã poderia ter mais opções de alimento.;8;;;;;;;;;;;;;;;;;;;;;;;;;
11 de setembro de 2023;Satisfatório;Hotel fica em boa localização, tem café da manhã agradável, camas confortáveis e funcionários atenciosos.;Chuveiro não esquentava, faltou água em um dos dias de hospedagem, a TV ficou sem funcionar e quando chamamos alguém para resolver vieram no dia seguinte . No último dia de hospedagem faltou energia no prédio e ao descer pelas escadas não havia nem luz de emergência funcionando.;6;;;;;;;;;;;;;;;;;;;;;;;;;
11 de setembro de 2023;Precisa melhorar o atendimento.;O atendimento das camareiras, especialmente a Renata. O quarto sempre limpo, sempre trocando as toalhas, excelente.;O atendimento da recepção a partir do dia 06/09, quando o hotel foi enchendo começou a ser ruim. Os funcionários pareciam estar nos fazendo um favor. O café da manhã também foi ruim a partir dessa data pois não havia reposição. Se você serve um café de 6:30 as 10:00 as comidas devem ser repostas. Tapioca encerrava as 9, 8h e nos informaram que não seriam feito mais. Academia antiga e tudo em manutenção. Os funcionários precisam melhorar o atendimento. Não retorno mais.;6;;;;;;;;;;;;;;;;;;;;;;;;;
11 de setembro de 2023;Bom;Café da manhã bem servido, e acomodação no geral boa.;Reservei cama de casal e me botaram em um quarto com 2 camas de solteiro.;7;;;;;;;;;;;;;;;;;;;;;;;;;
11 de setembro de 2023;Muito bom;Boa localização. Ambiente limpo.;Estacionamento pago e em outro local. Porém com serviço de motorista.;8;;;;;;;;;;;;;;;;;;;;;;;;;
10 de setembro de 2023;Muito bom;Localização e preço;;8;;;;;;;;;;;;;;;;;;;;;;;;;
10 de setembro de 2023;Bem razoável;Localização boa e o café da manhã também é bom.;Hotel mal tratado, estrutura antiga e precisando de raparos, piso do quarto manchado, roupa de cama com cheiro forte de mofo e cortinas também. Teve um funcionário que me recebeu de forma bem fria. Porém no check out fui atendido por uma moça bem solicita e atenciosa.;7;;;;;;;;;;;;;;;;;;;;;;;;;
7 de setembro de 2023;Muito bom;Quarto amplo;Banheiro precisando manutenção;8;;;;;;;;;;;;;;;;;;;;;;;;;
6 de setembro de 2023;Bom;Preço e localização.;Camas e travesseiros deviam ser mais confortáveis.;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Internet no quarto é muito ruim.""";7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5 de setembro de 2023;Satisfeito;Localização;Horário do café;8;;;;;;;;;;;;;;;;;;;;;;;;;
5 de setembro de 2023;Muito bom;Acomodação bastante confortável, com camas largas e um ótimo chuveiro!;;;;;;;;;;;;;;;;;;;;;;;;;;;
Por ser próximo ao aeroporto; passamos uma noite apenas;" para aguardar o voo no dia seguinte.""";;8;;;;;;;;;;;;;;;;;;;;;;;;;
5 de setembro de 2023;Bom;Localização;Esteira quebrada;7;;;;;;;;;;;;;;;;;;;;;;;;;
5 de setembro de 2023;Muito bom;Gostei do café e do ar condicionado;;8;;;;;;;;;;;;;;;;;;;;;;;;;
5 de setembro de 2023;Razoável;Localização;Café da manhã muito ruim;7;;;;;;;;;;;;;;;;;;;;;;;;;
4 de setembro de 2023;Boa opção custo x benefício;Localização.;Toalhas velhas.;7;;;;;;;;;;;;;;;;;;;;;;;;;
3 de setembro de 2023;Muito bom;Tudo;Nada;8;;;;;;;;;;;;;;;;;;;;;;;;;
3 de setembro de 2023;Não gostamos da cidade , muito escura (lâmpadas da avenida tds queimadas);Maravilhoso .;Lençol deveria ser melhor.;7;;;;;;;;;;;;;;;;;;;;;;;;;
2 de setembro de 2023;Boa;Café da manhã bom.locazicao boa;Estacionamento poderia ser gratuito;7;;;;;;;;;;;;;;;;;;;;;;;;;
2 de setembro de 2023;Muito bom;;Internet ruim e academia ruim.;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de setembro de 2023;Muito bom;Localização é excelente. Limpeza excelente.;;8;;;;;;;;;;;;;;;;;;;;;;;;;
30 de agosto de 2023;Muito bom;A localização é um dos pontos fortes e os quartos em geral são bons. Fica em frente a um supermercado que conta com lojas diversas como lavanderia, loteria, salão de beleza e praça de alimentação.;O café da manhã foi um ponto falho com demoras nas reposições e no atendimento aos pedidos. E os itens poderiam ser distribuídos em uma sequência lógica, tipo achocolatado próximo ao leite, copos próximos aos sucos e etc.;8;;;;;;;;;;;;;;;;;;;;;;;;;
30 de agosto de 2023;Bom;Excelente café da manhã, com comidas regionais do nordeste. A localização também é maravilhosa, principalmente a proximidade da praia.;A qualidade da roupa de cama fica a desejar por ser pequena para com o tamanho da cama, amanhece-se sempre exposto ao colchão.;7;;;;;;;;;;;;;;;;;;;;;;;;;
30 de agosto de 2023;Ótima estadia, quando voltar ficarei lá novamente;A localização é ótima, próximo a supermercado, farmácia, lojas e a 2 quadras da praia. Café da manhã muito bem servido com frutas, tapioca, cuscuz, bolos. A limpeza do quarto e do hotel muito boa, superou minhas expectativas.;Aparelhos danificados na academia;8;;;;;;;;;;;;;;;;;;;;;;;;;
29 de agosto de 2023;Honesta;Localização;Ar condicionado;8;;;;;;;;;;;;;;;;;;;;;;;;;
29 de agosto de 2023;Bom;Localização;Acesso por escadas ao 12° andar, onde fiquei hospedado e sem ter sido avisado pela recepção.;7;;;;;;;;;;;;;;;;;;;;;;;;;
29 de agosto de 2023;O preço da diária é muito bom em relação ao que as hospedagem oferece;Relação custo benefício.;As instalações necessitam de upgrade.;8;;;;;;;;;;;;;;;;;;;;;;;;;
28 de agosto de 2023;Hotel antigo mas muito bom;Da localização e da vista do quarto;Gostei de tudo;8;;;;;;;;;;;;;;;;;;;;;;;;;
28 de agosto de 2023;Bom Custo Benefício;Localização, quarto grande, manobrista e ótimo chuveiro.;Cama de Mola e café muito fraco.;8;;;;;;;;;;;;;;;;;;;;;;;;;
28 de agosto de 2023;Boa;Localização muito boa, café da manhã razoável.;Chuveiro Elétrico só funcionou um dia e solicitamos apoio e não fomos atendidos.;7;;;;;;;;;;;;;;;;;;;;;;;;;
