data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;;;;;;;;;;;;;;;;;;
4 de janeiro de 2025;Muito agradável em termos gerais;Funcionários muitos atenciosos;Cortinas não permitem que fiquemos a dormir um pouco mias deixa entrar o sol.;10;;;;;;;;;;;;;;;;;;;;;;;;;
3 de abril de 2025;Muito bom;Localização ótima, todavia por ser um hotel antigo, não tinha ducha higiênica e estava entrando mau cheiro pelo ralo. Café bom;;8;;;;;;;;;;;;;;;;;;;;;;;;;
3 de abril de 2025;Bom;O espaço do quarto é ótimo e a localização é excelente;Café da manhã ruim, poucas opções e comidas frias. Achei a cama muito mole, mas há quem goste.;7;;;;;;;;;;;;;;;;;;;;;;;;;
2 de abril de 2025;Muito bom;Não gostei da academia.;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Gostei dos funcionários.""";;8;;;;;;;;;;;;;;;;;;;;;;;;;;;
2 de abril de 2025;Tendo oportunidade voltarei com certeza;Localização, atendimento das pessoas excelente e quartos amplos;;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2025;Muito bom;Localização muito boa. Perto da praia, restaurantes e bares.;;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2025;Hotel atende nos requisitos principais: Boa localização;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A decepção foi que a Recepção não tem acesso as câmaras e só recebeu a reclamação para repassar a Gerência do Hotel que chegaria somente no outro dia; pela manhã. No dia 26mar( quarta-feira) pela manhã; já fazendo o check out; a Recepção ainda não tinha resposta sobre nossa mala; nem o Gerente tinha chegado ao Hotel para verificar as câmaras; etc; etc...Enfim; até agora; ainda não recebemos do Hotel;" qualquer situação sobre a recuperação da nossa mala.""";7;;;;;;;;;;;;;;;;;;;
14 de março de 2025;Muito bom;Quarto amplo, confortável e uma vista da cidade.;Café da manhã achei com pouca variação.;8;;;;;;;;;;;;;;;;;;;;;;;;;
14 de março de 2025;Ótima localização, acomodações limpas e funcionais, café da manhã básico, estilo antigo do apartamen;Café da manhã ok (2 sucos, pão, queijo, presunto, ovo, tapioca, 2 frutas, iogurte, café - buffet). Hotel antigo estilo anos 80, bem conservado, mas nunca foi retrofitado, tem um estilo pesado de decoração. Quarto ok, limpo, boas camas, banheiro podia ser modernizado mas tudo funciona. Bom preço benefício, ótima localização próximo a praia, supermercado, restaurantes e ao aeroporto.;A piscina estava em manutenção quando eu fui.;7;;;;;;;;;;;;;;;;;;;;;;;;;
14 de março de 2025;Muito bom;Registro a facilidade de não precisar preencher ficha. O recepcionista já me deu impressa e eu somente assinei.;A piscina estava em manutenção. Pesquisei hotéis na plataforma que tivessem piscina. Achei um pouco frustrante. Entendo, inclusive, que caiba uma compensação de parte da tarifa. Outra coisa que notei: os funcionários da recepção poderiam ser mais simpáticos. Todo hóspede espera ser bem recebido e com um sorriso.;8;;;;;;;;;;;;;;;;;;;;;;;;;
13 de março de 2025;Bom;Localização;Hotel antigo;;;;;;;;;;;;;;;;;;;;;;;;;;
"Precisa conservação melhor""";7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13 de março de 2025;Muito bom;Cama é tamanho do quarto;;8;;;;;;;;;;;;;;;;;;;;;;;;;
12 de março de 2025;Preciso da nota fiscal;Custo benefício;Dificuldade para conseguir a nota fiscal. Pela terceira vez fico hospedado e sempre a mesma Dificuldade. Atualizam meu e-mail e nunca recebo. Depois preciso ficar ligando na central e outra Dificuldade;7;;;;;;;;;;;;;;;;;;;;;;;;;
11 de março de 2025;Vale o custo benefício, boa experiência.;Custo benefício, localização.;Pelo preço a experiência foi boa. A piscina estava interditada.;8;;;;;;;;;;;;;;;;;;;;;;;;;
10 de março de 2025;Ideal para passar poucos dias.;Eu gostei bastante do banheiro do hotel, é bem grande e funciona tudo muito bem. Os funcionários são super simpáticos e solícitos. A recepção é bem limpa e organizada.;O café da manhã não é nada bom, falta variedades. O salão é bem escuros e os utensílios são bem velhos. Precisa melhorar bastante o café da manhã oferecido pelo hotel.;7;;;;;;;;;;;;;;;;;;;;;;;;;
10 de março de 2025;Muito bom;Limpeza , custo benéfico;Café da manhã, estacionamento pago , uma funcionária da recepção , muito grossa!!;8;;;;;;;;;;;;;;;;;;;;;;;;;
