data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;
3 de dezembro de 2024;wonderful;cafe da manhã, restaurante, acomodação, quartos, limpeza;;10;;;;;;
2 de dezembro de 2024;Excepcional;De tudo !!;;10;;;;;;
2 de dezembro de 2024;Práticopa;Localização excelente, café gostoso e variado, quarto confortável;O check in poderia ser mais ágil quando há fila;9;;;;;;
27 de novembro de 2024;Maravilhosa😻;Amei o atendimento da Maya na recepção, da piscina, do café da manhã, do quarto 🥰.;De ter ido embora 🥲;10;;;;;;
26 de novembro de 2024;Encantada pelo espaço e aconchego.;Tudo perfeitamente... atendimento, café da manhã, quartos, a área externa. super recomendo e sem dúvida irei voltar outras vezes.;;10;;;;;;
26 de novembro de 2024;Fantástico;O hotel impecável, cama formidável, localização ótima, café da manhã farto.;tudo que vc consumir na área da piscina tem que pagar logo, exemplo pedi um drink ele entrega o drink e vc já paga.;9;;;;;;
25 de novembro de 2024;Fantástico;Tudo esteve ótimo e atendeu as minhas espectativas.;--------;9;;;;;;
25 de novembro de 2024;Conforto e custo-benefício;Check-in e check-out tranquilos. Quarto amplo e camas confortáveis. Serviço de quarto muito bom. Funcionários simpáticos. O que me surpreendeu foi o café da manhã. Mesmo com o hotel cheio, há dois salões, que comportam a todos com conforto. E mesmo assim não havia filas, porque a reposição era muito rápida. Também havia tapioca, ovos e queijo coalho na chapa, que saiam rapidamente, feitos na hora por moças muito alegres e gentis. Recomendo.;;10;;;;;;
25 de novembro de 2024;Fantástico;O quarto é um pouco antigo, tinha barulho de obras, mas era razoável pelo preço;;9;;;;;;
25 de novembro de 2024;Excepcional;Excelente custo benefício, hotel a 5 minutos do aeroporto com excelente estrutura.;Quartos com camas, lençóis e travesseiros super macios e de qualidade. Primeira vez que dormi em um hotel como se estivesse em casa.;10;;;;;;
25 de novembro de 2024;Excelente opção para hospedagem no Recife;Atendimento excepcional;Nada relevante;10;;;;;;
22 de novembro de 2024;hospedagem maravilhosa, equipe de funcionários mais maravilhosos ainda;tudo;tudo;10;;;;;;
19 de novembro de 2024;Agradável;A equipe e o café da manhã continuam ótimos.;A única cadeira disponível faz um ruído elevado. ;;;;;;;
"O banheiro necessita de uma dedetização.""";9;;;;;;;;;
19 de novembro de 2024;Boa estada no Recife;É um hotel amplo, próximo da feirinha de Boa Viagem, quarto grande, relativamente confortável, estacionamento bom e fácil de fazer manobra no carro.;Da falta de amenidades no banheiro, que, por sinal, precisa de uma manutenção no rejunte do box. O rejunte está velho, quebrado e com lodo impregnado, dando uma má impressão. O café da manhã é bom, mas desconfortável a distância entre o local onde pegamos a comida e as mesas e cadeiras.;8;;;;;;
19 de novembro de 2024;Muito bom;O café da manhã era muito bom. A localização também, apesar de ser longe do local onde tinha que ir, era próximo de shoppings, da praia.;Os atendentes poderiam explicar melhor sobre as acomodações e as possibilidades do hotel (o que é oferecido, como chegar aos elevadores, o uso da chave, a existência de taxi e/ou uber disponível, etc...).;8;;;;;;
18 de novembro de 2024;Feliz;Andar alto, cama de casal, vista piscina;Nada;8;;;;;;
18 de novembro de 2024;Voltarei para curtir mais;Porteiro S. Chaves, camareira Eridiana, Táxista Pedro e demais funcionários muito atenciosos e gentis;Elevador estreito;10;;;;;;
18 de novembro de 2024;Amei o local!;Quartos amplos e bem limpos;;10;;;;;;
17 de novembro de 2024;Um ótimo local para família e casal.;Eu e minha família amamos tudo! Ótima recepção, instalação, localização, café da manhã…simplesmente tudo!;Nada desagradou.;10;;;;;;
17 de novembro de 2024;Fantástico;Atendimento na recepção, Lorena foi 10. ;;;;;;;;
Amei o quarto e a piscina; o café da manhã também;" tudo muito gostoso.""";Poderia ter mais opções de comida, (almoço/jantar/petiscos/Lanches)..... os preços podem ser mais acessíveis por favor.;9;;;;;;
14 de novembro de 2024;Voltaria outra vez com certeza;Conforto das camas;Porta do banheiro de mampara,, horrível denigrante isso não existe,,,,;8;;;;;;
13 de novembro de 2024;Boa estadia;Bom café da manhã.;Cama um pouco dura. Pouca iluminação no quarto.;8;;;;;;
11 de novembro de 2024;Hotel excelente para quem quer conforto!;Café da manhã esplendido! Hotel limpo, moderno, localização boa e tem também academia.;Um hotel desse nível poderia ter piscina aquecida.;10;;;;;;
11 de novembro de 2024;Estadia confortável e tranquila.;O que mais foi positivo foi o serviço.;;;;;;;;
Atendimento da recepção; cozinha e restaurante excelentes. Destaque para o Sr. Paulo;" garçon do restaurante. Um profissional excelente!""";Serviço de estacionamento problemático, desde o inicio!!! Credenciamento do veiculo não foi realizado, por problemas técnicos. Além de ser pago e caro.;9;;;;;;
10 de novembro de 2024;Excepcional;Hotel espetacular;;10;;;;;;
10 de novembro de 2024;Hotel Ok para turistas . Good enough para hóspedes a negócios .;Localização;Para classificação cinco estrelas me parece que falta uma atualização nas instalações e recursos quando comparado com outros hotéis da categoria . Para turistas OK . Para pessoas a trabalho apenas razoável .;8;;;;;;
8 de novembro de 2024;Muito bom;Gostei dos funcionários do café da manhã.;;;;;;;;
"O chuveiro é mto bom.""";Achei o café da manhã pouco sortido.;8;;;;;;;;
4 de novembro de 2024;Foi Maravilhosa!;O café da manhã excelente, pessoal anteciosos mesmo no café , e as meninas da tapioca uns amores.Mesmo estando uma parte em obras não teve barrulho de ficarmos encomodados e a limpeza excelente, localização nota 1000 , a recepção super atenciosos e eficientes, sem falar na piscina otima, voltarei novamente.;gostamos de tudo, tranquilidade atenção, localização pra pegar condução excelente. O quarto que fiquei muito confortavel ventilado e a cama muito confortavel. Gostei tambem do restaurante muito bom , e tudo nada a reclamar foi excelente,obrigada a todos !;10;;;;;;
3 de novembro de 2024;Voltarei;Tudo;Nada;10;;;;;;
3 de novembro de 2024;Fantástico;Aconchego do hotel, quarto e piscinas;Localização podia ser ainda mais perto da praia;9;;;;;;
29 de outubro de 2024;Muito bom;Localização;Café da manhã;8;;;;;;
29 de outubro de 2024;Excepcional;Gostei de tudo. ;;;;;;;;
"Foi um final de semana maravilhoso.""";Não gostei de ter ficado só um final de semana. Deveria ter me programado pra ficar a semana toda. A estadia foi realmente maravilhosa!!!;10;;;;;;;;
29 de outubro de 2024;Conforto e gentileza;Da gentileza dos funcionários do café da manhã variado e delicioso, do conforto. Recomendo.;;10;;;;;;
28 de outubro de 2024;Excepcional;O café da manhã farto e com muitas opções da culinária pernambucana. Os funcionários são super simpáticos e prestativos. Ganhei up grade para suíte Master e ganhou uma cliente que irá retornar outras vezes.;Nada a acrescentar;10;;;;;;
28 de outubro de 2024;Gostaria de ter ficado mais tempo;Principalmente do atendimento;Gostei muito;10;;;;;;
28 de outubro de 2024;Conforto e excelente atendimento;Disponibilidade da equipe para atender bem, café da manhã, área de lazer e conforto.;;9;;;;;;
24 de outubro de 2024;Foi muito boa!;Ambiente;Atendimento do restaurante a lá cart;10;;;;;;
22 de outubro de 2024;Hotel bom em Recife;Café da manhã muito bom, quartos bons e equipe com excelente atendimento. Próximo ao aeroporto;de nada;9;;;;;;
21 de outubro de 2024;Maravilhosa! Voltaria mil vezes lá;Tudo. Principalmente a área de lazer;Nada, foi tudo muito bom.;10;;;;;;
