data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;
Não são todas as acomodações que oferecem Netflix;" somente NET com poucos canais.""";8;;;;;
20 de junho de 2023;Fantástico;Hospitalidade e conforto da suite executiva;A garagem é um pouco apertada;9;;;
20 de junho de 2023;excelente café da manhã e muito confortável;o quarto muito limpo e amplo;não tenho nada a falar;10;;;
17 de junho de 2023;Muito bom;Localização e equipe;Preço e limpeza;8;;;
15 de junho de 2023;Muito bom;Do atendimento da recepcionista Leandra. Uma pessoa de uma simpatia incrível. Fora isso, o hotel é bastante confortável e bem localizado.;;8;;;
15 de junho de 2023;Muito boa.;Do café da manhã;Da falta de uma cafeteira no quarto;8;;;
14 de junho de 2023;Excelente;Simpatia dos funcionários, excelente café da manhã e quartos confortáveis e limpos.;;10;;;
13 de junho de 2023;Super agradável!;Adoramos a limpeza do quarto, conforto da cama e a mesa para trabalho nos ajudou bastante. ;;;;;
O café da manhã super gostoso e completo; não deixem de pedir uma tapioca para o Sr. Nildo; super gentil e as tapiocas são deliciosas! ;;;;;
"Todos os funcionários muito prestativos e educados.""";;10;;;;;
13 de junho de 2023;Excepcional;Dos funcionários eles são ótimos o hotel e maravilhoso tudo perfeito academia muito boa piscina sauna café top demais show eu recomendo perfeito;De ir embora porque me senti em casa;10;;;
12 de junho de 2023;Excepcional;De toda estrutura do hotel e o atendimento dos funcionários que foram extremamente atenciosos;;10;;;
10 de junho de 2023;Excepcional;Ambiente muito limpo, cama confortável, chuveiro bom, boa iluminação, quarto amplo. Destaque para o café da manhã com muita variedade, opções saudáveis e as deliciosas tapiocas e omeletes preparadas pelo Nildo.;;10;;;
9 de junho de 2023;Foi justo;Ficamos só uma noite mas a impressão foi muito boa;O entorno do hotel;9;;;
8 de junho de 2023;Maravilhoso!;Café da manhã maravilhoso!;nada!;10;;;
4 de junho de 2023;Excepcional;Ótimo hotel, muito confortável e com uma boa localização. O café da manhã é bem bom, especialmente a tapioca preparada na hora. Funcionários muito gentis.;;10;;;
4 de junho de 2023;Foi excelente.;Do fato deles se lembrarem do meu aniversário e me oferecerem um mini bolo de aniversario;Deles não terem quarto com vista para o mar. Se tivesse seria perfeito;8;;;
1º de junho de 2023;Fantástico;Quarto e banheiros grandes e confortáveis;Nada. Tudo bom.;9;;;
1º de junho de 2023;show!;tudo foi incrível!;nada a reclamar;10;;;
30 de maio de 2023;voltarei a me hospedar.;atendimento dos funcionários e localização;gostei de tudo;9;;;
30 de maio de 2023;Fantástico;Gostei do hotel, muito próximo da praia , funcionários solícitos . Quarto amplo , com ferro de passar e outras comodidades. Café da manhã satisfatório .;Achei o quarto um pouco escuro . É necessário uma lâmpada de teto no centro do quarto , ainda que exista uma na entrada perto do espelho e um abajur mais central na mesa para refeições, a claridade evita acidentes trazendo mais conforto para crianças, idosos e míopes.;9;;;
30 de maio de 2023;Ótima estadia;Instalações novas e aconchegantes. Atendimento muito bom. Limpeza ok. Café da manhã muito bom.;Nada;10;;;
29 de maio de 2023;Fantástico;Localização e café da manhã;;9;;;
28 de maio de 2023;Fantástico;Café da manhã e conforto quarto;Valor;9;;;
28 de maio de 2023;Excepcional;Ótima limpeza, fácil acesso.;;10;;;
28 de maio de 2023;Excepcional;Tudo;Nada;10;;;
27 de maio de 2023;estadia ótima!;Passamos dias maravilhosos nesse hotel que é incrível e incomparável! ;;;;;
Todos os funcionários sempre muito cordiais. Destacamos o atendimento do Nildo no café da manhã e a Sarita que a toda solicitação que tivemos; tanto no bar; quanto no restaurante; nos atendeu prontamente. Com certeza retornaremos o mais breve possível. Até logo;" pessoal!❤️""";;10;
27 de maio de 2023;amei a estadia;Adorei o cafe da manha, e a acomodação foi otima.;tudo gostoso;10;;;
27 de maio de 2023;voltaria!;cama e chuveiro;acústica do quarto;10;;;
27 de maio de 2023;Excepcional;Cafe da manha completo com cozinheiro para personalizar tapiocas/omeletes. Quarto muito grande e cama king.;Chuveiro pouca agua;10;;;
26 de maio de 2023;Foi muito satisfatoria, pois a atençao dos funcionarios nos fez superar o incomodo com a goteira.;O q mais gostei no hotel foi o atendimento, principalmente da equipe q nos atendeu no cafe da manha, Nildo, Lucas e Sarita. Tbm nao posso deixar de mencionar as varias opçoes de alimentos, incluindo ate opçoes sem gluten.;Infelizmente nada é perfeito, na noite q passamos no hotel choveu muito da madrugada ao amanhecer e no quarto q estivemos tinha uma goteira q nos incomodou razoavelmente. Fizemos o registro do ocorrido para q fosse reparado.;8;;;
25 de maio de 2023;Fim de férias;Hotel com instalações modernas e confortáveis;;10;;;
22 de maio de 2023;Fantástico;Hotel perfeito. Cafe da manhãexcelente.;Nada a reclamar;9;;;
22 de maio de 2023;Atendimento, serviços, decoração, cama e café. Tudo Perfeito! Super confortável!!;Conforto e serviços hotel;;10;;;
22 de maio de 2023;perfeito;a localização;a gente não pode abrir as janelas;9;;;
20 de maio de 2023;Fantástico;Cafe da manha;Chuveiro sem pressao.;9;;;
20 de maio de 2023;Muito bom;Café da manhã, quarto limpo, organizado, água cortesia de boas-vindas!;O hotel estava lotado, faltou pratos e alguns mal lavados no último dia de acomodação. não tem estacionamento próprio.;8;;;
20 de maio de 2023;Estadia completa e super confortável!;amei a receptividade dos funcionários, todos muito simpáticos e prestativos. Em especial, o Sr. Nilton que prepara as tapiocas na hora durante o café da manhã tem uma simpatia sem igual! A cama é super confortável e o chuveiro embora pareça pequeno tem uma ducha bem gostosa. A academia é ok e utilizamos todos os dias de nossa hospedagem. A piscina é super quentinha e embora pequena, é muito boa, pena que acabamos não aproveitando tanto em nossa estadia! Gostamos tanto deste hotel que na hora de passar por Recife novamente, cancelamos a reserva que tínhamos para repetir a experiência e foi ótimo! Esperamos voltar mais uma vez.;;10;;;
19 de maio de 2023;muito bom;Hotel simplesmente maravilhoso, quarto limpo, chuveiro perfeito, academia muito boa, café da manhã nem se fala coloca o de muitos resorts no bolso, indico demais pedir a crepioca de tomate e muzarela simplesmente perfeita segunda vez que nos hospedamos;;;;;
Nele; localização muito boa também;" a cama do quarto também é muito confortável e a acústica também.""";nada;10;;;
19 de maio de 2023;Hotel maravilhoso!;Hotel maravilhoso, melhor café da manhã de toda a viagem, bem localizado, quarto lindo e moderno, piscina aquecida, academia top! Próximo ao aeroporto de Recife. Pena que só ficamos uma noite.;;10;;;
18 de maio de 2023;agradável;o silêncio!;Cafe da manhã falta frutas pouca opção, poderia ter o trivial , como banana,e frutas de ocasião do nordeste !;8;;;
15 de maio de 2023;boa acomodação;limpeza e a cama;tamanho do quarto e ar condicionado;9;;;
15 de maio de 2023;Hotel excelente.;A cordialidade dos funcionários e a estrutura do hotel (limpeza, tamanho do quarto e a acomodação).;O hotel não fica tão próximo da praia.;10;;;
13 de maio de 2023;Hotel moderno, confortável e excelente atendimento.;Atendimento impecável, todo o staff prestativo e simpático!;Cheiro de mofo no corredor dos quartos.;8;;;
10 de maio de 2023;Foi boa, mas eu esperava mais. Nem pela questão preço (que achei justa), mas comparado às fotos do site e às boas recome;A tapioca, a educação e a simpatia do senhor Nilton no café da manhã.;O check in e o check out foram bem demorados. De maneira geral a recepção precisa melhorar.;8;;;
9 de maio de 2023;conforto e cortesia;conforto e café;Tudo bom .;10;;;
5 de maio de 2023;funcionários extremamente espaços e simpáticos;espaço e vista;;10;;;
5 de maio de 2023;Excepcional;;Garagem;10;;;
2 de maio de 2023;Excelente opção em Boa Viagem;Excelente estrutura, conforto em todos os itens no quarto, funcionários educados e prestativos e um café-da-manhã completo. Um dos melhores em que já me hospedei.;Nada a reclamar;10;;;
2 de maio de 2023;Estadia fantástica, vale a pena ficar nesse Hotel, voltarei!;Do Conforto do quarto, impecável, iluminação perfeita e ventilação também.;Nada a declarar.;10;;;
2 de maio de 2023;PERFEITA;GOSTEI DOS FUNCIONÁROS, QUARTO LIMPO E LINDO, ENXOVAIS PERFEITOS.;nÃO TER SERVIÇO DE MANOBRISTA;10;;;
2 de maio de 2023;Bom hotel;Hotel novo, bom café da manhã, bem localizado;Travesseiro muito mole. Ar condicionado não regulava, funcionava no máximo o tempo todo.;9;;;
2 de maio de 2023;Fantástica;A localização e estrutura são maravilhosos , atendem o que propõe … parabéns pelos serviço, infraestrutura e atendimento. Adorei , com certeza retornarei .;;10;;;
1º de maio de 2023;Excepcional;Cafe da manhã, piscina com rooftop, mimos.;Nada;10;;;
1º de maio de 2023;Excepcional;tudo;;10;;;
30 de abril de 2023;muito bom. compensa voltar;quarto, localização, café da manhã;nada;10;;;
30 de abril de 2023;Tudo!!! Fomos passar nosso aniversário de casamento e no formulário do Booking.com perguntaram o que não podia faltar na;Tudo!!! Fomos passar nosso aniversário de casamento e no formulário do Booking.com perguntaram o que não podia faltar na nossa hospedagem e eu falei que gostávamos de cafés especiais de origem e simplesmente o hotel providenciou estrutura de preparo de café no quarto e no café da manhã a Sarita fez nosso café na hora, na nossa mesa!!!! Ah, além disso a Leanne preparou um mimo pro nosso aniversário de casamento, com um mini bolo e chocolates personalizados, maravilhosos!! sem dúvida alguma foi uma das melhores hospedagens nossas nos últimos anos!! Recomendadíssimo!!!!❤️;Tudo!!! Fomos passar nosso aniversário de casamento e no formulário do Booking.com perguntaram o que não podia faltar na nossa hospedagem e eu falei que gostávamos de cafés especiais de origem e simplesmente o hotel providenciou estrutura de preparo de café no quarto e no café da manhã a Sarita fez nosso café na hora, na nossa mesa!!!! Ah, além disso a Leanne preparou um mimo pro nosso aniversário de casamento, com um mini bolo e chocolates personalizados, maravilhosos!! sem dúvida alguma foi uma das melhores hospedagens nossas nos últimos anos!! Recomendadíssimo!!!!❤️;10;;;
30 de abril de 2023;Gostei muito!;Atendimento cordial, limpeza cuidadosa, comida muito saborosa no restaurante do hotel, café da manhã simples, porém, muito gostoso.;nada;10;;;
29 de abril de 2023;Hospedagem super recomendável !;O cuidado do pessoal do atendimento, principalmente do Café da Manhã, que fez questão de comprar produtos veganos para que eu pudesse fazer meu desjejum tranquilamente dentro do hotel.;;10;;;
25 de abril de 2023;Excepcional;foi legal;de nada;10;;;
24 de abril de 2023;Muito bom;quarto bem confortável !!;não possui estacionamento próprio sendo este terceirizado e mesmo pagando o mesmo diária de 20 reais o serviço é péssimo , o manobrista não pega o carro e toda vez que precisar sair com o carro paga a diária.;8;;;
24 de abril de 2023;Muito boa. Voltaria;Café da manhã super gostoso, cama super confortável e adorei o menu de travesseiros com cheiro de ervas.;A localização da privada no banheiro é estranha.;9;;;
24 de abril de 2023;Excepcional;;Atendimento do setor de reservas, precisa melhorar.;10;;;
24 de abril de 2023;Foi incrível!;Muito confortável, equipe muito simpática, café da manhã incrível;;10;;;
23 de abril de 2023;Excepcional;Ótimo custo benefício. Os funcionários são ótimos.;;10;;;
23 de abril de 2023;Excelente conforto;Cama macia e espaçosa, ter academia, café da manhã muito variado. instalações com decoração moderna.;Não tem serviço de bar na piscina.;10;;;
23 de abril de 2023;férias no Recife: calor e gente boa!;Hotel novo e muito confortável, próximo à praia e à praça de Boa Viagem;O preço poderia ser mais camarada (já nos hospedamos em locais semelhantes gastando menos);10;;;
23 de abril de 2023;Ótimo hotel! Excelente qualidade;Hotel de ótima qualidade, tudo muito bom o quarto, café da manhã, localização, limpeza e funcionários todos atenciosos e gentis.;;10;;;
21 de abril de 2023;Muito satisfeita!;simpatia dos colaboradores;conforto do hotel;10;;;
20 de abril de 2023;Fuga da rotina;A localização do hotel e a estrutura agradaram bastante;O hotel desconsiderou a observação da data comemorativa. A máquina de café não estava funcionando no café da manhã.;9;;;
19 de abril de 2023;Fantástico;Café da manhã muito bom! Quartos limpos, bom tamanho, banheiro novo e bem higienizado, cama confortável.;;9;;;
18 de abril de 2023;maravilhoso;limpeza;;10;;;
18 de abril de 2023;Muito Obrigada;muito;nada;9;;;
17 de abril de 2023;Excelente qualidade com ótimo café da manhã;Conforto do quarto, café da manhã.;Nada.;10;;;
17 de abril de 2023;Fantástico;Atendimento, localização e confortável;A área da piscina é pequena.;9;;;
17 de abril de 2023;Excelente hotel em todos os sentidos, de pessoa a estrutura;Muito bom mesmo, funcionários, qualidade do hotel, caracteristicas excelentes.;Não teve nada negativo, a não ser a localização mas que não impacta na qualidade do hotel.;9;;;
14 de abril de 2023;Hotel confortável com ótimo café da manhã;O Hotel atendeu muito bem a necessidade de hospedagem. Quarto amplo, confortável, e ótimo café da manhã. Indico um retorno.;;;;;
O Hotel ainda dispõe de academia;" piscina aquecida e sauna.""";A localização é muito boa. Próximo a praia e ao centro de artesanato, além de vários restaurantes. Entretanto a cidade está com uma população de rua bastante grande, e que fica nos arredores do hotel. Nos sentimos melhor andando em grupos.;10;;;;
10 de abril de 2023;Excepcional;Limpeza e funcionários muito gentil;;10;;;
4 de abril de 2023;Muito bom;variedade e qualidade no café da manhã.;ar condicionado barulhento.;8;;;
4 de abril de 2023;Recomendo o hotel.;Equipe atenciosa e quarto confortável.;Havia reformas no térreo e terraço mas nada que atrapalhasse a estadia.;8;;;
2 de abril de 2023;funcionários gentis, mas o custo benefício não é bom. pelo valor cobrado a cama e amenidades poderiam ser melhores.;localização;qualidade das camas e box dos banheiros;8;;;
