data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;
#NOME?;;;;;;;;;;
"- travesseiros terríveis""";7;;;;;;;;;
2 de julho de 2024;Norma;Quarto grande e espaçoso e camas boas. Restaurante embaixo muito bom;Chuveiro de agua gelada, não esquentava por nada;7;;;;;;
30 de junho de 2024;Excelente, voltaria a me hospedar.;Quarto enorme, tudo limpo, café da manhã excelente e os funcionários muito atenciosos.;Algumas coisas precisam de reforma, mas nada que atrapalhe muito.;9;;;;;;
28 de junho de 2024;Muito bom;Gostei de tudo!;;;;;;;;
Um hotel de 230 reais a diária com café da manhã . ;;;;;;;;;;
Tá ótimo custo benefício .;;;;;;;;;;
Quem quiser melhor vai ter que alugar um mais caro . ;;;;;;;;;;
"Então pra mim valeu a pena .eu volto""";Somente o horário de chek que 14 horas , ;;;;;;;;;
Mas e regras ; ;;;;;;;;;
Mas eles guarda a bagagem;" então de bom""";8;;;;;;;;
28 de junho de 2024;Hotel para diárias curtas;Localização é bom café da manhã;Muito barulhento, de madrugada na parede da minha cama tinha barulho forte, parecia o chuveiro do quarto vizinho;8;;;;;;
26 de junho de 2024;Bom hotel;A recepção é confortável e o quarto duplo também. O café da manhã é maravilhoso.;Não parcelamento no cartão de crédito da estadia. Não pediram nenhum tipo dr informação pessoal dis hóspedes, somente o RG. Falta estacionamento e lugar para fumantes.;7;;;;;;
23 de junho de 2024;Custo beneficio bom;Limpeza;Posicionamento da tv na lateral da cama;9;;;;;;
20 de junho de 2024;Razoável;;O quarto poderia estar mais limpo bem como o banheiro e a água do chuveiro estava gelada;7;;;;;;
17 de junho de 2024;Excelente localização e conforto.;Quarto amplo, cama grande e confortável, bons equipamentos, localização excelente, funcionários prestativos.;Funcionamento irregular dos elevadores.;9;;;;;;
13 de junho de 2024;Bom;Cama e toalhas . Café da manhã muito bom;Esperava mais pelo preço;8;;;;;;
6 de junho de 2024;O tratamento das recepcionistas fez toda a diferença.;Da gentileza da recepcionista, que me ajudou com o celular, com orientação de transporte, alimentação e tirou todas as minhas dúvidas. Eu e meu marido nos sentimos acolhidos por ela (tem um nome diferente que não consigo lembrar) mas sou muito grata a ela. O café da manhã e a vista do quarto.;Ficamos só uma noite, depois seguimos viagem. Para mim e meu marido o hotel foi satisfatório.;8;;;;;;
5 de junho de 2024;Muito bom;Localização de frente para o mar. Pegamos vista pro mar. Custo benefício. Café da manhã bom tbm.;Hotel bem velho, roupas de cama amareladas e com cheiro não muito bom.;8;;;;;;
20 de maio de 2024;Muito boa;Sim falta apenas estacionamento pra os carros dos hóspedes;Não tem estacionamento e as janelas estão c problemas pra abrir;8;;;;;;
17 de maio de 2024;Bom;Serviço dos funcionários muito bom e café da manhã espetacular!;Achei apertado o quarto!;7;;;;;;
14 de maio de 2024;Muito bom;A localização é excelente, os funcionários são muito prestativos, os quartos são confortáveis, toalhas e material de cama são de boa qualidade.;A comida do restaurante deixa muito a desejar.;8;;;;;;
10 de maio de 2024;Muito boa.;Localidade.;Toalhas amareladas.;9;;;;;;
9 de maio de 2024;Muito bom;Gostamos muito da localização ,do tratamento e simpatia dos funcionários , limpeza e do café da manhã super recomendamos muito obrigado a todos do hotel por tudo! Ficamos satisfeito .;;8;;;;;;
9 de maio de 2024;Bom hotel;O quarto é amplo e bem iluminado, banheiro bom e boa limpeza.;A chekin, o atendimento foi muito grosso, nada de acolhimento.;;;;;;;
;;;;;;;;;;
O quarto foi liberado após as 14 horas; mesmo a gente ter informado que estava no evento do hotel.;;;;;;;;;
;;;;;;;;;;
O restaurante estava quente;" o ar condicionado não estava funcionando bem.""";8;;;;;;;;
6 de maio de 2024;Recomendo a escolha do hotel. Voltarei mais vezes.;Conforto, Localização, limpeza e instalações.;A TV não é SMART e estava sem sinal de antena.;9;;;;;;
6 de maio de 2024;Bom;Instalação e localização;Cobraram o valor de 4 pessoas, quando apenas um casal utilizou o hotel.;7;;;;;;
28 de abril de 2024;Muito bom;Localização é ótima;É uma pena não ter estacionamento, mas a localização é muito boa;8;;;;;;
26 de abril de 2024;Fantástico;Localização e café da manhã;Substituição das roupas de cama e banho;9;;;;;;
23 de abril de 2024;Muito bom;Cama confortável, piscina top, localização muito boa, limpeza do quarto muito boa, maioria dos funcionários do hotel simpáticos e educados.;Sentir falta de alguns itens de higiene pessoal. Outra coisa que me deixou chateado é a falta de educação de alguns funcionários no restaurante, em um dos dias da minha hospedagem teve um pouco de incômodo da minha parte devido a falta de educação de uns 2 funcionários do restaurante;8;;;;;;
19 de abril de 2024;Bom;A localização é excelente.;Eu costumo fazer propaganda desse hotel na Austria. Infelizmente o quarto 503 foi muito barulhento e sem boa visão para as fotos. A recepção não conseguiu outro quarto.;7;;;;;;
14 de abril de 2024;Satisfeito;Localização e apartamento defronte para o mar.;Não nada a reclamar. O hotel atendeu minhas expectativas dentro do valor pago.;9;;;;;;
5 de abril de 2024;Bom;O quarto tem um tamanho bom. Ar condicionado ótimo. A limpeza é nota 10. Funcionários muito simpáticos.;O banheiro é bem velho e precisa de uma boa obra.;7;;;;;;
